Subject,pswq-rt,pswq-radio,pswq-key,pswq-mouse,pswq-ipi,pswq-q01,pswq-q02,pswq-q03,pswq-q04,pswq-q05,pswq-q06,pswq-q07,pswq-q08,pswq-q09,pswq-q10,pswq-q11,pswq-q12,pswq-q13,pswq-q14,pswq-q15,pswq-q16,pswq-q17,ius12-rt,ius12-radio,ius12-key,ius12-mouse,ius12-ipi,ius12-q01,ius12-q02,ius12-q03,ius12-q04,ius12-q05,ius12-q06,ius12-q07,ius12-q08,ius12-q09,ius12-q10,ius12-q11,ius12-q12,ius12-q13,nfc-rt,nfc-radio,nfc-key,nfc-mouse,nfc-ipi,nfc-q01,nfc-q02,nfc-q03,nfc-q04,nfc-q05,nfc-q06,nfc-q07,nfc-q08,nfc-q09,nfc-q10,nfc-q11,nfc-q12,nfc-q13,nfc-q14,nfc-q15,nfc-q16
0028vx980suduypyca0fxp5s.,54.619,25,0,48,1.83,3,2,3,2,3,3,2,3,1,3,3,2,2,2,2,3,0,111.902,20,0,39,2.239,1,3,2,3,1,2,2,2,2,1,3,2,4,66.605,24,0,54,2.046,4,4,4,3,2,4,4,2,2,3,4,4,4,1,3,5
0ai9f8an3qc4knt1s37yc2fq.,98.814,19,0,27,3.317,2,1,4,1,3,3,0,3,4,4,3,1,2,1,1,4,0,67.711,16,0,22,3.498,3,2,1,3,2,0,2,3,2,1,3,1,4,103.004,18,0,25,4.345,4,4,3,2,4,4,3,3,3,5,5,5,4,0,4,5
0g5jqp6ehlqbdrbk5dvo7nia.,100.646,20,0,42,3.947,1,0,3,1,2,2,1,2,0,3,3,2,2,2,0,2,0,68.945,14,0,26,3.843,1,1,0,0,1,0,0,0,2,1,2,0,4,90.107,19,0,40,4.867,2,1,2,2,1,2,3,2,2,2,2,2,2,3,2,5
0msrk1ubu9clngjuhkffgn7r.,65.603,18,0,30,3.353,2,1,4,0,1,1,1,4,1,4,4,1,1,2,1,1,0,55.987,15,0,21,3.612,2,3,1,2,2,2,2,2,2,2,2,3,4,82.307,17,0,25,4.746,4,3,3,4,1,3,4,3,3,4,4,0,1,4,4,4
0xxxbebgmfn4m2hrs8jbcs15.,204.23,18,0,20,6.001,3,1,1,0,2,2,1,1,3,2,2,3,1,0,3,1,1,314.86,15,0,26,5.718,1,2,0,3,2,0,1,4,3,0,3,3,3,745.721,16,0,29,8.053,2,4,3,2,3,2,4,2,2,2,4,2,4,1,4,4
2k8a2pb4478h2ui0gtqtg96v.,38.254,17,0,24,2.136,4,1,4,2,2,2,2,2,4,4,3,2,4,3,3,4,0,31.149,13,0,22,1.74,3,4,2,2,3,2,2,4,3,3,3,2,4,54.431,19,0,29,2.128,1,4,1,4,3,2,5,3,3,3,3,3,1,0,2,5
35plsw0y6gz896hmg0ksic2g.,44.643,18,37,0,1.866,1,1,4,2,3,2,1,2,1,4,1,3,2,1,1,2,0,40.785,13,21,0,2.766,1,1,0,1,0,1,1,1,2,1,1,0,4,55.257,17,31,0,3.041,3,1,4,2,3,3,3,2,2,2,3,4,4,2,4,5
43qqrym6uu8zlp8w027xqvi9.,338.865,17,0,34,2.922,0,4,0,4,4,4,4,2,4,0,2,4,4,4,4,4,0,67.351,15,0,35,3.865,3,3,2,3,4,0,1,4,2,2,2,1,4,74.793,19,0,31,2.735,5,5,5,5,3,5,5,5,5,5,4,5,5,5,4,5
4mwhrciwfrfcb7oaq6f05kts.,141.576,17,0,22,4.961,3,1,2,2,2,2,2,3,1,3,2,1,2,2,1,2,0,116.885,14,0,20,4.884,0,2,1,1,1,0,1,2,0,1,3,1,4,123.086,16,0,20,7.328,1,0,3,1,2,1,4,3,2,2,0,3,2,1,0,5
65fygro5lua1k2su3r3vcovk.,51.567,19,0,22,2.308,3,1,3,2,2,3,1,3,2,4,3,2,2,1,1,2,0,70.229,14,0,22,2.383,1,3,0,3,1,1,2,3,1,1,3,1,4,77.507,16,0,21,3.661,3,1,4,4,3,5,4,4,3,2,3,4,4,3,3,5
6srjyp630ga4an3l3yhme0q6.,586.723,26,0,68,2.99,3,3,3,1,2,3,2,3,3,4,3,2,3,2,2,3,0,57.814,16,0,33,3.356,1,1,2,2,3,2,1,2,1,2,3,0,4,298.776,42,0,91,1.558,5,3,5,4,4,3,4,3,1,5,3,4,3,2,4,5
7pasnj6gr51yxw8t9snafte1.,108.72,17,0,22,2.183,2,2,3,2,3,3,2,3,2,3,2,3,3,2,3,2,0,42.253,15,0,20,1.92,2,3,3,2,2,1,2,3,2,3,3,2,4,66.316,19,0,27,3.161,3,4,4,2,2,3,3,3,2,3,2,4,4,2,3,5
85czin81wbg9hx9576a2yoqs.,127.868,22,0,29,5.784,4,2,4,4,4,4,4,4,3,4,3,4,4,2,3,4,0,141.918,17,0,23,7.032,2,2,0,2,1,2,2,3,2,3,3,1,4,177.13,27,0,40,4.339,2,1,5,3,1,3,4,4,1,5,4,4,3,0,3,5
8jp0gh5bzl0od5368581xvc7.,61.753,18,0,31,1.328,1,1,2,1,2,3,2,2,2,2,2,3,2,1,2,2,2,19.875,13,0,17,1.04,2,3,3,2,2,2,2,3,2,2,3,2,2,31.081,17,0,22,1.356,4,2,4,3,3,3,2,2,3,2,3,3,3,3,3,3
8n4npywsyuit41ehrclgfoev.,53.249,19,0,24,2.286,3,2,4,3,3,3,3,3,3,4,2,3,3,3,3,3,0,49.282,13,0,14,2.839,2,3,1,2,2,3,2,2,2,2,2,2,4,109.119,17,0,21,3.654,4,1,2,3,3,3,3,4,3,2,3,1,3,0,3,5
8sihrciklc2hd768u0rqc4pl.,61.298,18,0,20,3.086,3,3,4,4,3,3,4,3,1,4,1,3,3,2,3,3,0,66.822,14,0,17,4.957,3,4,3,3,3,0,3,3,3,3,2,3,4,82.885,17,0,23,4.027,4,2,4,4,5,4,5,5,4,4,3,4,4,1,4,5
9bmawyi35xr2i3hq9dtkjg0n.,27.034,17,0,32,1.252,2,2,1,3,2,3,2,1,3,2,1,2,2,2,3,3,3,21.227,15,0,32,1.236,3,3,3,2,2,2,3,3,2,3,2,3,2,50.025,16,0,33,1.142,3,3,4,3,3,4,4,4,3,4,3,4,4,3,3,3
a46swtu2diqpj3z21mfb6x84.,130.194,17,0,22,4.122,3,0,4,0,0,2,0,1,3,3,0,0,0,0,1,2,0,93.223,13,0,14,5.048,0,3,1,3,2,0,2,3,1,1,4,3,4,65.571,17,0,24,3.365,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5
aaz5rwa16q73iwrsrbshbk39.,56.793,18,0,25,2.643,2,1,4,1,2,2,1,3,1,4,1,1,3,2,1,2,0,42.192,15,0,17,2.466,3,4,0,3,2,0,2,3,3,0,3,1,4,71.201,19,0,21,3.32,3,0,2,3,1,4,3,2,1,2,2,4,3,2,3,5
ac4dwnk18da5prccl8bzfwsj.,70.776,23,0,33,1.876,2,3,3,2,3,3,3,2,3,4,3,3,3,1,2,3,0,51.072,16,0,24,2.889,1,3,0,1,0,2,0,2,1,0,0,1,4,69.998,19,0,25,3.198,2,0,2,2,0,2,4,3,0,1,3,3,1,1,2,5
b9w6du5mfjy3anpj9b94wiun.,83.583,17,0,25,4.028,2,2,3,2,0,2,0,1,0,3,0,0,2,1,0,2,0,82.877,17,0,26,3.548,0,1,0,2,0,0,1,2,0,0,2,1,4,176.934,21,0,30,4.328,4,1,3,4,2,3,4,3,4,4,1,4,4,2,4,5
bg7au9jdadvby4tm2h8tgjyy.,159.924,19,0,27,4.506,3,0,1,0,3,0,2,2,3,1,3,0,1,0,0,1,0,151.37,14,0,22,3.109,1,0,0,3,1,1,1,3,0,1,3,1,4,224.892,17,0,25,6.074,3,2,5,2,2,5,4,3,2,2,3,5,5,2,4,5
bheux2elnaefr0ck9wry05n3.,154.47,19,0,27,5.94,1,3,2,4,2,3,3,0,3,4,1,1,3,1,2,3,2,86.301,18,0,21,1.263,2,3,4,4,2,0,3,4,2,4,4,3,4,90.903,18,0,22,0.951,5,5,4,4,3,5,4,5,4,1,4,5,5,4,5,4
btj5opoxoxgssw6apiuiwa81.,70.52,17,0,31,3.376,3,2,3,2,2,3,2,2,3,3,3,2,2,2,1,4,0,57.212,13,0,16,3.786,1,2,0,1,2,2,1,2,0,2,2,1,4,92.632,17,0,26,4.173,1,1,1,4,1,4,5,3,3,1,1,1,4,2,1,5
cdqe7d4eopykg1rw25hg0smw.,61.126,18,0,21,3.024,4,2,4,3,3,3,3,3,3,3,1,2,3,3,3,3,0,47.876,14,0,16,2.317,4,3,4,2,3,1,4,4,4,3,4,4,4,66.217,16,0,22,3.308,5,4,5,3,4,4,5,4,4,4,4,4,4,2,4,4
d3ewk04q2r002e5a8fgqa80d.,76.453,19,0,24,3.144,2,3,4,1,0,2,2,3,2,3,3,1,1,3,2,4,0,77.733,18,0,21,2.639,3,3,2,1,2,4,1,4,2,2,1,2,4,125.616,18,0,24,5.947,3,0,4,4,0,5,5,1,1,4,3,5,4,0,4,5
d59ud9vqctwhdwy86ykb67qz.,163.331,18,0,25,7.464,3,4,3,1,4,4,3,0,0,4,4,0,3,1,3,4,1,158.673,13,0,20,6.312,1,1,3,1,3,2,2,3,0,1,4,1,4,105.837,18,0,23,5.232,4,1,5,4,0,4,5,4,0,4,1,5,4,4,1,5
ddaqntvjvd3eopf9aebk3jt9.,89.3,19,0,24,4.099,4,1,3,3,2,3,2,3,3,4,3,2,2,1,1,4,0,78.375,14,0,21,5.055,1,2,2,3,1,2,2,2,1,2,1,1,4,81.79,17,0,24,4.632,3,1,3,3,1,4,3,2,2,2,2,3,3,2,3,5
dljco098fsutlrzt06hesnmh.,59.485,18,0,24,2.864,3,3,3,2,2,2,1,2,1,3,2,2,2,1,1,3,0,61.312,16,0,20,3.367,2,1,3,3,2,1,1,2,3,2,3,3,4,78.43,16,0,21,4.997,4,2,3,3,3,4,4,2,3,3,3,4,3,3,2,4
dlnzn7l56v1fq7xku1tmor3h.,60.975,17,0,20,3.18,3,2,4,4,3,2,3,4,2,4,2,3,2,2,4,2,0,45.8,13,0,14,2.345,3,3,3,2,3,2,3,2,2,3,2,2,4,96.326,17,0,18,3.673,3,4,2,3,2,4,4,3,4,2,4,3,3,1,3,5
drsoux247pv1q4j7husw8kva.,78.942,18,0,28,1.91,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,176.622,13,0,17,2.661,0,2,0,2,0,0,0,1,2,0,1,0,4,117.654,16,0,26,4.182,1,1,1,1,1,3,4,1,1,1,1,3,2,0,1,5
e27aupllzdxymlxrn3593i6x.,122.549,18,0,30,5.92,3,2,3,2,1,3,0,3,1,3,2,1,2,1,1,3,0,66.747,14,0,23,3.584,1,1,1,2,2,1,1,2,2,1,2,2,3,115.505,18,0,28,6.53,2,2,3,3,3,3,4,3,3,3,3,3,4,3,3,3
e5vxndygfz6wu5qdzowriwlr.,106.737,18,0,25,2.954,4,2,3,2,2,3,1,3,3,4,3,2,2,2,1,3,0,44.841,13,0,18,2.618,3,4,4,4,4,3,3,4,3,4,4,3,4,162.373,17,0,25,5.244,4,2,5,3,4,4,5,4,2,3,4,5,5,2,4,5
eeij9c18pv7o7agz89omgqk0.,72.329,19,0,46,3.258,3,0,4,3,2,3,4,3,4,4,1,2,4,1,3,4,0,61.68,16,0,31,3.452,3,3,1,4,4,2,1,1,4,2,3,0,4,90.331,17,0,35,4.64,2,1,3,1,1,2,5,4,4,1,4,5,5,0,2,5
eig14l4z67cl92gg7trjlmjp.,77.463,17,0,22,3.245,4,3,4,3,4,3,3,3,4,4,4,4,3,3,3,3,1,56.321,13,0,17,3.596,3,4,2,3,3,3,4,3,3,4,3,3,4,150.945,21,0,56,4.888,4,2,4,4,2,4,5,3,4,4,4,4,5,1,4,5
enh2br5ahtga43u4zd4gmaec.,98.526,17,0,22,4.419,3,2,4,3,3,3,2,2,1,4,3,1,3,1,1,2,0,60.177,13,0,17,4.575,1,2,2,2,1,2,2,2,1,1,2,1,4,108.879,17,0,26,6.673,4,3,3,3,2,4,3,3,3,2,4,3,3,3,4,5
epdm01s7p1uo8kn1m8b8o8wd.,106.018,20,0,30,3.088,2,4,4,4,4,3,4,3,2,4,4,4,3,3,4,4,0,45.271,13,0,17,3.032,3,3,4,3,4,4,4,1,4,3,3,3,4,495.29,16,0,18,4.952,5,1,5,3,1,5,4,4,5,3,0,5,5,5,5,5
eso69wcbr957gmqyijel2bqp.,87.743,18,0,24,3.865,3,2,4,4,4,1,3,3,3,4,4,3,3,4,3,3,0,60.128,13,0,15,3.3,1,4,0,3,1,4,1,3,1,2,3,1,4,114.317,17,0,23,4.462,4,4,3,4,4,5,2,4,2,2,4,4,5,1,5,3
f3q2zx571eimwnzib6iom1l2.,215.146,18,0,33,6.183,4,2,4,3,2,2,2,3,1,4,3,1,2,3,2,2,0,88.538,13,0,15,6.222,2,3,1,2,3,2,3,2,1,2,1,3,4,126.05,18,0,22,7.085,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5
gazrkiisx1dztglmbxx3mm03.,93.543,18,0,22,4.572,4,3,3,4,4,2,3,3,4,3,2,4,3,2,3,4,0,65.253,13,0,16,5.015,4,4,3,4,4,1,3,4,2,2,4,4,4,104.842,17,0,19,5.602,5,2,5,5,1,5,2,2,1,3,2,5,5,2,5,5
ggu9mpow2kj9dvkrrfx1rhzi.,70.529,19,0,23,3.47,3,2,4,3,2,4,2,3,2,4,2,3,3,2,3,2,0,70.795,15,0,21,4.925,2,3,2,3,0,1,2,2,1,1,1,1,4,87.249,20,0,35,4.124,4,1,3,4,1,4,4,1,1,3,1,4,4,1,3,5
gh7hi15ar4c156kg8nhch44s.,57.632,18,0,24,3.135,3,1,3,2,1,1,0,1,2,4,3,0,2,0,0,2,0,45.234,14,0,23,3.145,1,0,1,1,2,1,1,1,2,1,2,1,4,58.844,16,0,23,3.462,1,0,5,1,1,3,2,3,1,2,3,5,5,0,2,4
gj0hifjpaxenxu53xcjr7r77.,59.982,17,0,23,2.925,2,3,4,4,4,4,4,1,2,0,2,4,3,4,2,3,0,45.835,15,0,20,1.954,2,2,3,3,3,2,3,3,3,3,4,2,4,69.027,18,0,26,4.185,4,3,2,4,3,4,4,4,3,3,4,5,5,2,3,5
gq8icyq41unwp4gudfk87tac.,70.58,19,0,31,2.947,2,1,2,1,1,2,1,2,2,3,1,1,2,1,0,3,0,63.94,15,0,27,3.699,1,2,1,2,1,1,1,2,1,0,2,1,4,90.711,16,0,28,4.88,3,2,4,3,2,3,4,2,3,2,2,4,4,1,4,4
gtouraixqbp4l3z0ffs8qj7e.,65.711,19,0,27,3.351,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,60.253,16,0,21,2.941,1,4,4,4,1,2,3,4,1,3,2,3,4,102.179,19,0,25,4.252,5,0,5,5,1,5,4,4,3,3,5,4,5,3,5,5
gx6a2ucc31wv12kflrog1zr4.,125.133,19,0,21,6.436,2,1,2,0,1,1,0,3,0,1,0,0,0,0,0,2,0,121.474,14,0,15,7.344,1,3,1,3,2,1,2,2,2,1,3,1,4,142.1,16,0,18,8.885,3,2,4,4,3,3,5,5,4,4,3,3,4,2,3,5
